family,topk,sample_idx,conf_orig,conf_after_del,conf_drop
resnet18_cbam,0.05,5114,0.9932892918586731,0.9961832165718079,-0.0028939247131347656
resnet18_cbam,0.1,5114,0.9932892918586731,0.9971484541893005,-0.0038591623306274414
resnet18_cbam,0.2,5114,0.9932892918586731,0.9971543550491333,-0.003865063190460205
resnet18_cbam,0.05,107,0.7672658562660217,0.5750502943992615,0.19221556186676025
resnet18_cbam,0.1,107,0.7672658562660217,0.4601927101612091,0.3070731461048126
resnet18_cbam,0.2,107,0.7672658562660217,0.7393054366111755,0.02796041965484619
resnet18_cbam,0.05,10443,0.9018430113792419,0.8828490972518921,0.018993914127349854
resnet18_cbam,0.1,10443,0.9018430113792419,0.9087440371513367,-0.0069010257720947266
resnet18_cbam,0.2,10443,0.9018430113792419,0.9217649698257446,-0.019921958446502686
resnet18_cbam,0.05,5117,0.9972370862960815,0.997734546661377,-0.0004974603652954102
resnet18_cbam,0.1,5117,0.9972370862960815,0.9983025789260864,-0.0010654926300048828
resnet18_cbam,0.2,5117,0.9972370862960815,0.9971038699150085,0.00013321638107299805
resnet18_cbam,0.05,27764,0.9959497451782227,0.9958471655845642,0.00010257959365844727
resnet18_cbam,0.1,27764,0.9959497451782227,0.9957515001296997,0.00019824504852294922
resnet18_cbam,0.2,27764,0.9959497451782227,0.9963376522064209,-0.0003879070281982422
resnet18_cbam,0.05,31588,0.9933595061302185,0.9951926469802856,-0.0018331408500671387
resnet18_cbam,0.1,31588,0.9933595061302185,0.9964984655380249,-0.0031389594078063965
resnet18_cbam,0.2,31588,0.9933595061302185,0.9935303330421448,-0.00017082691192626953
resnet18_cbam,0.05,5131,0.9989739656448364,0.9992473125457764,-0.0002733469009399414
resnet18_cbam,0.1,5131,0.9989739656448364,0.999107301235199,-0.00013333559036254883
resnet18_cbam,0.2,5131,0.9989739656448364,0.998764157295227,0.000209808349609375
resnet18_cbam,0.05,1761,0.9874202609062195,0.988900899887085,-0.0014806389808654785
resnet18_cbam,0.1,1761,0.9874202609062195,0.9886061549186707,-0.0011858940124511719
resnet18_cbam,0.2,1761,0.9874202609062195,0.9840489625930786,0.003371298313140869
resnet18_cbam,0.05,34288,0.9910881519317627,0.9955673813819885,-0.00447922945022583
resnet18_cbam,0.1,34288,0.9910881519317627,0.9953873753547668,-0.00429922342300415
resnet18_cbam,0.2,34288,0.9910881519317627,0.9964634776115417,-0.005375325679779053
resnet18_cbam,0.05,26309,0.8258070945739746,0.8527407050132751,-0.026933610439300537
resnet18_cbam,0.1,26309,0.8258070945739746,0.9217432141304016,-0.095936119556427
resnet18_cbam,0.2,26309,0.8258070945739746,0.9700459241867065,-0.14423882961273193
resnet18_cbam,0.05,21752,0.9812654852867126,0.9988877177238464,-0.01762223243713379
resnet18_cbam,0.1,21752,0.9812654852867126,0.9991443157196045,-0.017878830432891846
resnet18_cbam,0.2,21752,0.9812654852867126,0.9995973706245422,-0.01833188533782959
resnet18_cbam,0.05,20801,0.9994134902954102,0.996057391166687,0.0033560991287231445
resnet18_cbam,0.1,20801,0.9994134902954102,0.9933487772941589,0.006064713001251221
resnet18_cbam,0.2,20801,0.9994134902954102,0.021051157265901566,0.9783623330295086
resnet18_cbam,0.05,17666,0.8365477323532104,0.07248475402593613,0.7640629783272743
resnet18_cbam,0.1,17666,0.8365477323532104,0.23736172914505005,0.5991860032081604
resnet18_cbam,0.2,17666,0.8365477323532104,0.398634135723114,0.43791359663009644
resnet18_cbam,0.05,16706,0.9993147850036621,0.9995055198669434,-0.00019073486328125
resnet18_cbam,0.1,16706,0.9993147850036621,0.999527096748352,-0.0002123117446899414
resnet18_cbam,0.2,16706,0.9993147850036621,0.9995811581611633,-0.0002663731575012207
resnet18_cbam,0.05,6553,0.9930497407913208,0.9978041052818298,-0.004754364490509033
resnet18_cbam,0.1,6553,0.9930497407913208,0.9985247254371643,-0.005474984645843506
