family,sample_idx,deletion_auc,insertion_auc
vit_tiny,9711,0.19371560254649012,0.14114785042258404
vit_tiny,2485,0.26487723904784843,0.46383339056225736
vit_tiny,25055,0.7763044842940872,0.7348645488236798
vit_tiny,25226,0.4487439871263632,0.6919838052563136
vit_tiny,2517,0.5362188822322906,0.769387735504921
vit_tiny,3986,0.7129645935333428,0.705216914193187
vit_tiny,5449,0.42340675309279163,0.20759068736714426
vit_tiny,25650,0.21258286315060104,0.3122695989590909
vit_tiny,5353,0.6813712077681089,0.5527400335487584
vit_tiny,13786,0.22848990860646268,0.4404048549231163
vit_tiny,4322,0.5317622059814653,0.5450265680905488
vit_tiny,25639,0.25225428859027943,0.3810088025743994
